base,finetuned,reference
"best died in hospice in Hickory, north Carolina, of complications from pneumonia. he played bumbling sheriff Rosco P. Coltrane on ""the Dukes of Hazzard"" he was born in Kentucky and raised in rural Indiana.","Jimmie Best was ""the most constantly creative person I have ever known,"" co-star John Schneider says. ""The Dukes of Hazzard"" ran until 1985 and spawned TV movies, an animated series and video games. ""Jimmie Best was my teacher, mentor, close friend and collaborator for 26 years,"" friend says.","James Best, who played the sheriff on ""The Dukes of Hazzard,"" died Monday at 88 .
""Hazzard"" ran from 1979 to 1985 and was among the most popular shows on TV ."
"""it doesn't matter what anyone says, he is presumed to be innocent,"" attorney says. cardiologist's lawyer says allegations against his client are ""completely unsubstantiated"" prosecutors say he pleaded not guilty to all charges. he faces charges in connection with a plot to take out a rival doctor.","Dr. Anthony Moschetto's attorney calls the allegations ""completely unsubstantiated"" He is accused of plotting to kill a rival doctor on Long Island.","A lawyer for Dr. Anthony Moschetto says the charges against him are baseless .
Moschetto, 54, was arrested for selling drugs and weapons, prosecutors say .
Authorities allege Moschetto hired accomplices to burn down the practice of former associate ."
president Barack Obama took part in a roundtable discussion this week on climate change. he refocused on the issue from a public health vantage point. the average american can also do their part to reduce their own carbon footprint.,President Obama says climate change is a public health issue that affects all of us. He says the President wants the average American to take away the health impacts of climate change.,"""No challenge poses more of a public threat than climate change,"" the President says .
He credits the Clean Air Act with making Americans ""a lot"" healthier ."
independent channel in Russia aired Hillary Clinton's first campaign video with a rating stamp. the channel said it didn't want to break the country's anti-gay propaganda law. the video features a gay couple holding hands.,"A Russian TV channel aired Hillary Clinton's first campaign video with a rating stamp. The channel said it didn't want to break Russia's controversial anti-gay propaganda law. The law bans ""propaganda of nontraditional sexual relations around minors""","Presidential hopeful's video, featuring gay couple, gets mature rating in Russia .
Russian TV channel feared airing it would break the country's anti-gay propaganda law .
Clinton announced her support for same-sex marriage in 2013 ."
sen. marco rubio is running for the 2016 presidential nomination. he has been his own worst enemy on immigration reform and Cuba relations. he has embraced a typical conservative approach to immigration.,Ruben Navarrette: Marco Rubio is missing a chance to set himself apart from GOP candidates. He says Rubio has been his own worst enemy on immigration and Cuba policy.,"Raul Reyes: In seeking Latino vote, Marco Rubio his own worst enemy on two key issues: immigration reform, Cuba relations .
He says on health care, climate change and other issues, he breaks from Latinos' positions. Polls show they don't favor him ."
"""Orphan Black"" kicks off its second season on saturday. the series returns with a new subtitle, ""Washington's Spies"" and a new Monday night time slot.","The world of Westeros returns for a fifth season in one of the biggest season premieres of the year. ""Game of Thrones"" returns for a fifth season in one of the biggest premieres of the year.","Critically acclaimed series ""Orphan Black"" returns .
""Turn: Washington's Spies"" starts a second season .
""Game of Thrones"" is back for season five ."
"ramp agent who fell asleep in plane's cargo hold is permanently banned from working on planes. ""we're going to come back around,"" passenger tells kcpq. ""all of a sudden we heard all this pounding underneath the plane,"" passenger says.","A ramp agent is permanently banned from working on an Alaska Airlines plane. ""I'm trapped in this plane and I called my job, but I'm in this plane,"" a passenger says.","The ramp agent fell asleep in the plane's cargo hold .
He can no longer work on Alaska Airlines flights ."
the Taliban released a biography of mullah Mohammed Omar. the reclusive militant is credited with founding the group in the early 1990s. he is credited with leading rebel groups against the communists.,Biography challenges rumors that Taliban leader Mohammed Omar is not alive. Omar studied at a religious school and was propelled into the arms of the Afghan opposition.,"Mullah Omar, the reclusive founder of the Afghan Taliban, is still in charge, a new biography claims .
An ex-Taliban insider says there have been rumors that the one-eyed militant is dead ."
"Michelle MacLaren is leaving the upcoming ""Wonder Woman"" movie. MacLaren was announced as director of the movie in November.","Michelle MacLaren was announced as director of the upcoming ""Wonder Woman"" The movie, starring Gal Gadot, is still set for release on June 23, 2017.","Michelle MacLaren is no longer set to direct the first ""Wonder Woman"" theatrical movie .
MacLaren left the project over ""creative differences""
Movie is currently set for 2017 ."
police say they knew a burglar alarm went off but didn't respond to the call. the robbery took place over the weekend in the heart of the jewelry district. a former police official has speculated that the loss could be in the hundreds of thousands of pounds.,A burglar alarm was activated at Hatton Garden Safe Deposit Ltd. on Easter Sunday. Numerous British news organizations put the value of the loss in the hundreds of thousands of pounds.,"British tabloid releases video it says shows the robbery being carried out .
British police say they didn't respond to a burglar alarm in jewelry district .
Police give no value of the amount taken in the heist in London's jewelry district ."
